Week,Date,Block,Plot,Position,Plant,Chemotype,Plottype,M_fuscoviride_apterous,M_fuscoviride_alate,M_tanacetaria_apterous,M_tanacetaria_alate,U_tanaceti_apterous,U_tanaceti_alate,U_tanaceti_WN,Ant_MF,Antnest,Ant_total,Counted_by,Notes
1,06.05.2021,6,2,3,16_50_A,Aacet,0,,,,,,,,,,,Tobias,
1,06.05.2021,6,2,4,7_38_A,Aacet,0,,,,,,,,,,,Tobias,
1,06.05.2021,6,2,5,22_29_A,Aacet,0,,,,,,,,,,,Tobias,
1,06.05.2021,6,3,1,7_22_B,Aacet,1,,,,,,,,,,,Dominik,
1,06.05.2021,6,3,2,17_68_B,ABThu,1,,,,,,,,,,,Dominik,
1,06.05.2021,6,3,3,23_27_B,BThu,1,,,29,,,,,,,,Dominik,
1,06.05.2021,6,3,4,24_7_B,Myrox,1,,,,,,,,,,,Dominik,
1,06.05.2021,6,3,5,29_44_B,Keto,1,,,,,,,,,,,Dominik,
1,06.05.2021,6,4,1,7_152_A,Myrox,0,,,,,,,,,,,Liv,
1,06.05.2021,6,4,2,24_27_A,Myrox,0,,,,,,,,,,,Liv,
1,06.05.2021,6,4,3,18_81_A,Myrox,0,,,,,,,,,,,Liv,
1,06.05.2021,6,4,4,24_7_A,Myrox,0,,,,,,,,,,,Liv,
1,06.05.2021,6,4,5,14_15_A,Myrox,0,,,,,,,,,,,Liv,
1,06.05.2021,6,5,1,7_152_B,Myrox,1,,,,,,,,,,3,Tobias,
1,06.05.2021,6,5,2,16_50_B,Aacet,1,,,,,,,,,,,Tobias,
1,06.05.2021,6,5,3,29_160_B,ABThu,1,,,,,,,,,,,Tobias,
1,06.05.2021,6,5,4,9_77_B,Keto,1,,,,,,,,,,,Tobias,
1,06.05.2021,6,5,5,8_50_B,BThu,1,,,,,,,,,,,Tobias,
1,06.05.2021,6,6,1,6_40_A,Keto,0,,,,,,,,,,,Liv,
1,06.05.2021,6,6,2,26_4_A,Keto,0,,,,,,,,,,,Liv,
1,06.05.2021,6,6,3,8_40_A,Keto,0,,,,,,,,,,,Liv,
1,06.05.2021,6,6,4,9_77_A,Keto,0,,,,,,,,,,,Liv,
1,06.05.2021,6,6,5,29_44_A,Keto,0,,,,,,,,,,,Liv,
1,05.05.2021,6,7,1,6_40_B,Keto,1,,,,,,,,,,,Tobias,
1,05.05.2021,6,7,2,24_49_B,BThu,1,,,,,,,,,,,Tobias,
1,05.05.2021,6,7,3,7_38_B,Aacet,1,,,,,,,,,,,Tobias,
1,05.05.2021,6,7,4,16_167_B,ABThu,1,,,,,,,,,,,Tobias,
1,05.05.2021,6,7,5,14_15_B,Myrox,1,,,,,,,,,,,Tobias,
1,06.05.2021,6,8,1,16_22_A,BThu,0,,,,,,,,,,,Tobias,
1,06.05.2021,6,8,2,24_49_A,BThu,0,,,,,,,,,,2,Tobias,
1,06.05.2021,6,8,3,23_27_A,BThu,0,,,,,,,,,,,Tobias,
1,06.05.2021,6,8,4,6_13_A,BThu,0,,,,,,,,,,,Tobias,
1,06.05.2021,6,8,5,8_50_A,BThu,0,,,,,,,,,,,Tobias,
1,05.05.2021,6,9,1,16_22_B,BThu,1,,,,,,,,,,2,Liv,
1,05.05.2021,6,9,2,26_4_B,Keto,1,,,,,,,,,,1,Liv,
1,05.05.2021,6,9,3,18_81_B,Myrox,1,,,,,,,,,,,Liv,
1,05.05.2021,6,9,4,22_29_B,Aacet,1,,,,,,,,,,,Liv,
