ID_unique,Plottype,Plant,Block,Plot,Position,Motherplant,Chemotype,Comp_ID,Comp_name,Peak_area,Percent,Norm_weight
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,12,sabinene_hydrate_E,198697,0.1976097,18923.52381
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,14,sabinene_hydrate_Z,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,19,sabinol_Z,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,1,santolina_triene,3611170,3.591409133,343920.9524
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,11,terpinene_g,131919,0.131197119,12563.71429
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,30,terpinenyl_1_4_acetate,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,29,terpineol,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,15,thujone_a,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,16,thujone_b,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,27,umbellulone,1029,0.001023369,98
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,18,artemiseol,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,49,epicubenol,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,40,unknown_sesquiterpenoid_1,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,43,unknown_sesquiterpenoid_2,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,44,unknown_sesquiterpenoid_3,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,45,unknown_sesquiterpenoid_4,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,47,unknown_sesquiterpenoid_5,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,48,unknown_sesquiterpenoid_6,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,50,unknown_sesquiterpenoid_7,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,51,unknown_sesquiterpenoid_8,270744,0.269262448,25785.14286
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,52,unknown_sesquiterpenoid_9,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,46,trans_pinocarvyl_acetate,518782,0.515943147,49407.80952
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,26,verbenol,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,33,verbenyl_acetate_E,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,34,verbenyl_acetate_Z,0,0,0
1_10_3_23_019_HT,Heterogenous,23_019_B,1,10,3,23,Aacet,7,yomogi_alcohol,959292,0.95404261,91361.14286
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,42,cadinene_g,913585,1.873363548,93222.95918
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,13,artemisia_alcohol,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,10,artemisia_ketone,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,22,artemisyl_acetate_b,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,28,borneol,3939095,8.077362244,401948.4694
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,3,camphene,651719,1.336390832,66501.93878
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,21,camphor,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,38,carvyl_acetate_Z,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,41,caryophyllene_b,132414,0.271523242,13511.63265
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,25,chrysanthenol,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,17,chrysanthenone,329171,0.674985855,33588.87755
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,35,chrysanthenyl_acetate_E,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,31,chrysanthenyl_acetate_Z,930385,1.907813006,94937.2449
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,9,cineole_1_8,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,8,cymene_p,651128,1.335178949,66441.63265
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,39,eugenol,868014,1.779917344,88572.85714
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,24,lavandulol,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,6,myroxide_Z,17314550,35.50457464,1766790.816
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,20,neothujol,2156468,4.421973373,220047.7551
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,2,pinene_a,422710,0.866793463,43133.67347
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,5,pinene_b,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,23,pinocarvone,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,32,RI_1241_unknown,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,36,RI_1292_unknown,0,0,0
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,4,sabinene,78094,0.160136663,7968.77551
1_10_4_07_156_HT,Heterogenous,07_156_B,1,10,4,7,Myrox,37,sabinene_acetate_E,0,0,0
